b'1',b'689',b'Bermuda Hospitals Board',b'3778',b'1469',b'1819',b'263',Bermuda
b'1',b'26',b'Alberta Health Services',b'502',b'79',b'11',b'95',Canada
b'2',b'98',b'Hospital for Sick Children',b'1283',b'104',b'296',b'331',Canada
b'3',b'109',b'Sant\xc3\xa9 Mont\xc3\xa9r\xc3\xa9gie',b'443',b'716',b'53',b'98',Canada
b'4',b'113',b'Centre for Addiction & Mental Health',b'272',b'218',b'958',b'235',Canada
b'5',b'133',b'Vancouver Coastal Health',b'1025',b'141',b'182',b'504',Canada
b'6',b'144',b'London Health Sciences Centre',b'1372',b'442',b'146',b'166',Canada
b'7',b'177',b'University Health Network',b'1161',b'173',b'495',b'565',Canada
b'8',b'179',b'Fraser Health',b'732',b'396',b'158',b'371',Canada
b'9',b'180',b'Vancouver Island Health Authority',b'2958',b'366',b'125',b'215',Canada
b'10',b'195',b'Winnipeg Regional Health Authority',b'1935',b'775',b'86',b'144',Canada
b'11',b'236',b'Alberta Health & Wellness',b'6524',b'312',b'449',b'224',Canada
b'12',b'243',b'Montreal Neurological Institute and Hospital',b'481',b'621',b'1124',b'261',Canada
b'13',b'260',b'Mount Sinai Hospital Toronto',b'1169',b'618',b'466',b'322',Canada
b'14',b'282',"b""St Michael's Hospital""",b'216',b'332',b'1160',b'860',Canada
b'15',b'288',b'Mcgill University Health Centre',b'488',b'500',b'956',b'518',Canada
b'16',b'301',b'Perth and Smiths Falls District Hospital',b'1264',b'43',b'2113',b'2394',Canada
b'17',b'306',b'Capital Health Nova Scotia Canada',b'1864',b'721',b'193',b'366',Canada
b'18',b'336',b'(1)  Hamilton Health Sciences',b'687',b'921',b'160',b'510',Canada
b'19',b'358',b'Ontario Community Care Access Centres',b'2827',b'418',b'304',b'701',Canada
b'20',b'377',b'Jewish General Hospital Hopital General Juif',b'1701',b'930',b'210',b'427',Canada
b'21',b'427',b'Northern Health',b'3245',b'864',b'401',b'366',Canada
b'22',b'488',"b""Centre Hospitalier de l'Universite de Montreal""",b'2384',b'1710',b'548',b'188',Canada
b'23',b'489',"b""BC Children's Hospital""",b'3898',b'684',b'925',b'470',Canada
b'24',b'495',b'Kidney Foundation of Canada Northern Alberta',b'1726',b'288',b'576',b'2394',Canada
b'25',b'549',"b""Children's Hospital of Eastern Ontario/Centre Hospitalier Pour Enfants de L'Est de L'Ontario""",b'3314',b'688',b'1087',b'613',Canada
b'26',b'558',b'Ottawa Hospital',b'515',b'825',b'629',b'1328',Canada
b'27',b'566',b'Institut universitaire en Sant\xc3\xa9 Mentale de Montr\xc3\xa9al (hopital Louis H Lafontaine)',b'2783',b'2117',b'769',b'165',Canada
b'28',b'580',b'Saskatoon Health Region',b'3517',b'1135',b'511',b'473',Canada
b'29',b'582',b'Centre Hospitalier Universitaire de Quebec',b'1306',b'1925',b'1249',b'241',Canada
b'30',b'584',b'CancerCare Manitoba',b'2247',b'1730',b'501',b'328',Canada
b'31',b'630',b'Institut de Recherches Cliniques de Montreal',b'1709',b'1009',b'885',b'737',Canada
b'32',b'639',b'Centre Hospitalier Affilie Universitaire de Quebec',b'1219',b'2252',b'697',b'328',Canada
b'33',b'675',b'Baycrest',b'3194',b'615',b'1291',b'1085',Canada
b'34',b'676',"b""St Joseph's Health Care London""",b'1710',b'1404',b'994',b'557',Canada
b'35',b'722',"b""Institut de Cardiologie de l'Universite d'Ottawa""",b'2270',b'851',b'1042',b'1085',Canada
b'36',b'728',b'Centre Universitaire de Sant\xc3\xa9 Mcgill Mcgill University Health Centre',b'524',b'1640',b'1344',b'701',Canada
b'37',b'736',b'Sunrise Health Region',b'2382',b'978',b'281',b'1328',Canada
b'38',b'763',b'Centre Hospitalier Universitaire de Sherbrooke',b'1510',b'1942',b'722',b'549',Canada
b'39',b'807',"b""Bc's Children's Hospital Foundation""",b'667',b'583',b'2453',b'2394',Canada
b'40',b'810',"b""Women's College Hospital""",b'3220',b'997',b'960',b'931',Canada
b'41',b'839',b'Providence Health Care Vancouver',b'2124',b'1133',b'852',b'1157',Canada
b'42',b'877',b'British Columbia Lung Association',b'4670',b'1703',b'834',b'473',Canada
b'43',b'920',"b""Regina Qu'Appelle Health Region""",b'2989',b'1639',b'505',b'846',Canada
b'44',b'997',b'Iwk Health Centre',b'3099',b'1550',b'690',b'1085',Canada
b'45',b'1002',b'Yukon Health & Social Services',b'3331',b'834',b'1178',b'1934',Canada
b'46',b'1025',"b""St Joseph's Health Centre Toronto""",b'2560',b'2037',b'768',b'753',Canada
b'47',b'1124',"b""BC Women's Hospital & Health Centre""",b'6028',b'1468',b'1783',b'634',Canada
b'48',b'1199',b'North York General Hospital',b'3401',b'1423',b'1145',b'1328',Canada
b'49',b'1216',"b""L'Hopital de Montreal Pour Enfants du Cusm""",b'3157',b'1205',b'2073',b'1328',Canada
b'50',b'1235',b'Holland Bloorview Kids Rehabilitation Hospital',b'3987',b'1299',b'1436',b'1328',Canada
b'51',b'1292',b'Royal Victoria Hospital',b'4183',b'2141',b'720',b'972',Canada
b'52',b'1315',"b""Centre de Recherche de l'Institut de Cardiologie de Montreal""",b'3674',b'1187',b'2212',b'1815',Canada
b'53',b'1315',b'Providence Healthcare Toronto',b'4163',b'1918',b'1515',b'860',Canada
b'54',b'1323',"b""Prairie Women's Health Centre""",b'7116',b'3265',b'1953',b'245',Canada
b'55',b'1329',b'(1)  Thunder Bay Regional Health Sciences Centre',b'3702',b'1649',b'1130',b'1328',Canada
b'56',b'1350',b'Hopital Regional de Sudbury',b'2127',b'3393',b'303',b'1085',Canada
b'57',b'1376',b'Centre de Sant\xc3\xa9 et de Services Sociaux de Laval',b'164',b'3976',b'450',b'1934',Canada
b'58',b'1384',b'CancerCare Nova Scotia',b'3163',b'3130',b'879',b'729',Canada
b'59',b'1430',b'Vancouver Foundation',b'2675',b'926',b'3286',b'2394',Canada
b'60',b'1438',b'Centre de Sant\xc3\xa9 et de Services Sociaux de Gatineau',b'4461',b'4718',b'722',b'366',Canada
b'61',b'1459',"b""St Joseph's Healthcare Hamilton""",b'4815',b'2100',b'681',b'1289',Canada
b'62',b'1490',b'R\xc3\xa9seau de sant\xc3\xa9 Horizon Health Network',b'2288',b'2702',b'1320',b'1085',Canada
b'63',b'1517',b'Ontario Shores Centre for Mental Health Sciences',b'3303',b'3465',b'1184',b'661',Canada
b'64',b'1548',b'Royal Ottawa Health Care Group',b'4163',b'1973',b'2330',b'972',Canada
b'65',b'1568',b'Elgin St Thomas Health Unit',b'1999',b'4516',b'775',b'729',Canada
b'66',b'1575',"b""St Mary's Hospital Center Montreal""",b'5054',b'4118',b'2118',b'328',Canada
b'67',b'1623',b'Kingston General Hospital',b'3356',b'2148',b'1577',b'1328',Canada
b'68',b'1632',b'Trillium Health Centre',b'8019',b'1321',b'1326',b'1934',Canada
b'69',b'1697',b'Hopital Maisonneuve Rosemont',b'5773',b'2784',b'1550',b'815',Canada
b'70',b'1703',b'Western Health',b'2103',b'4368',b'700',b'972',Canada
b'71',b'1717',b'Lakeridge Health Network',b'4492',b'2262',b'1856',b'1157',Canada
b'72',b'1718',b'Lasik MD Laser Eye Surgery and Vision Correction',b'3210',b'1578',b'3797',b'1815',Canada
b'73',b'1742',b'Cambridge Memorial Hospital',b'7757',b'1553',b'2125',b'1328',Canada
b'74',b'1786',b'Peterborough Regional Health Centre',b'2463',b'3276',b'2017',b'972',Canada
b'75',b'1792',b'Institut universitaire de cardiologie et de pneumologie de Qu\xc3\xa9bec',b'2726',b'4719',b'922',b'753',Canada
b'76',b'1812',"b""BC Centre of Excellence for Women's Health""",b'9121',b'2611',b'3352',b'479',Canada
b'77',b'1865',b'Simcoe Muskoka District Health Unit',b'2340',b'1668',b'2932',b'2394',Canada
b'78',b'1877',b'Vancouver Coastal Health Research Institute',b'2606',b'3194',b'1304',b'1739',Canada
b'79',b'1914',b'Scarborough Hospital',b'3554',b'1763',b'1945',b'2394',Canada
b'80',b'1930',b'Windsor Regional Hospital',b'2136',b'2629',b'1070',b'2394',Canada
b'81',b'1965',b'Montfort Hospital',b'3348',b'2021',b'1606',b'2394',Canada
b'82',b'1975',b'Centre de recherche du CHU de Qu\xc3\xa9bec',b'275',b'8703',b'1031',b'498',Canada
b'83',b'2005',"b""Children's & Women's Health Centre""",b'5157',b'2525',b'1004',b'1934',Canada
b'84',b'2142',"b""Mcmaster Children's Hospital""",b'1474',b'2589',b'2603',b'2394',Canada
b'85',b'2147',b'Care Point Medical Centres',b'3185',b'1414',b'5360',b'2394',Canada
b'86',b'2233',b'Extendicare',b'10310',b'1516',b'1546',b'2394',Canada
b'87',b'2283',b'Centre Hospitalier Robert-Giffard Institut Universitaire en Sant\xc3\xa9 Mentale',b'5548',b'2901',b'2039',b'1328',Canada
b'88',b'2293',b'Credit Valley Hospital',b'7384',b'1880',b'1630',b'2394',Canada
b'89',b'2318',b'Niagara Health System',b'2774',b'2276',b'2998',b'2394',Canada
b'90',b'2345',b'Hopital du Sacre Coeur de Montreal',b'4541',b'2890',b'1753',b'1934',Canada
b'91',b'2350',b'Centre de Sant\xc3\xa9 et de Services Sociaux du Sud de Lanaudi\xc3\xa8re',b'3398',b'5886',b'624',b'972',Canada
b'92',b'2444',b'Eden Health Care Services',b'5113',b'1366',b'6013',b'2394',Canada
b'93',b'2463',b'Morris Hospital & Healthcare Centers',b'3631',b'2007',b'4028',b'2394',Canada
b'94',b'2493',b'Guysborough Antigonish Strait Health Authority',b'8522',b'5805',b'371',b'815',Canada
b'95',b'2608',b'Princess Margaret Cancer Foundation',b'3056',b'2744',b'2932',b'2394',Canada
b'96',b'2650',b'Markham Stouffville Hospital',b'4754',b'2665',b'2229',b'2394',Canada
b'97',b'2673',b'Hopital Riviere des Prairies',b'1446',b'4492',b'2654',b'1934',Canada
b'98',b'2816',b'Toronto East General Hospital',b'4597',b'2234',b'4442',b'2394',Canada
b'99',b'2857',b'Northumberland Hills Hospital',b'4136',b'4706',b'2056',b'1328',Canada
b'100',b'2862',b'Annapolis Valley Health',b'2636',b'4560',b'2065',b'1934',Canada
b'101',b'2874',b'Institut Philippe Pinel Hopital en Psychiatrie',b'3180',b'3337',b'4079',b'1934',Canada
b'102',b'2884',b'Centre Hopitalier Universitaire Sainte Justine',b'1982',b'6299',b'2515',b'972',Canada
b'103',b'2960',b'Halton Healthcare Services',b'5212',b'5586',b'936',b'1328',Canada
b'104',b'2995',b'(1)  Juravinski Cancer Centre',b'7768',b'5614',b'1808',b'753',Canada
b'105',b'3001',b'Grand River Hospital',b'6527',b'3620',b'1130',b'2394',Canada
b'106',b'3006',"b""St Joseph's Care Group""",b'6292',b'3737',b'1066',b'2394',Canada
b'107',b'3111',b'Lamp Community Health Centre',b'4086',b'4096',b'1679',b'2394',Canada
b'108',b'3153',b'Brandon Regional Health Authority',b'5227',b'4440',b'1793',b'1934',Canada
b'109',b'3184',"b""St Mary's General Hospital""",b'7075',b'3182',b'2053',b'2394',Canada
b'110',b'3184',"b""Alberta Children's Hospital Foundation""",b'5485',b'2624',b'4250',b'2394',Canada
b'111',b'3194',b'Southern Health-Sant\xc3\xa9 Sud',b'3024',b'6702',b'1118',b'1328',Canada
b'112',b'3203',b'Queensway Carleton Hospital',b'6462',b'3690',b'1557',b'2394',Canada
b'113',b'3219',b'Winnipeg Health Sciences Centre',b'10646',b'2153',b'3185',b'2394',Canada
b'114',b'3355',b'Quinte Health Care',b'6130',b'4062',b'1623',b'2394',Canada
b'115',b'3497',b'Somerset West Community Health Centre',b'6814',b'4901',b'2618',b'1328',Canada
b'116',b'3530',b'Interlake Eastern Regional Health Authority',b'5231',b'8644',b'363',b'972',Canada
b'117',b'3561',b'Kgh Regional Cancer Centre',b'9599',b'3848',b'3519',b'1739',Canada
b'118',b'3589',b'Doctors Nova Scotia',b'5499',b'3694',b'3269',b'2394',Canada
b'119',b'3670',b'Weight Loss Surgery',b'10420',b'2467',b'5709',b'1934',Canada
b'120',b'3707',b'Hotel Dieu Grace Hospital',b'7366',b'3632',b'2804',b'2394',Canada
b'121',b'3739',b'Hotel Dieu Hospital',b'8056',b'3428',b'3073',b'2394',Canada
b'122',b'3760',b'Brant Community Healthcare System',b'5515',b'3828',b'3519',b'2394',Canada
b'123',b'3767',b'Dartmouth General Hospital Charitable Foundation',b'11325',b'1241',b'9055',b'2394',Canada
b'124',b'3772',b'Norfolk General Hospital',b'3687',b'5700',b'1495',b'2394',Canada
b'125',b'3824',b'Joseph Brant Memorial Hospital',b'7340',b'4749',b'1432',b'2394',Canada
b'126',b'3838',b'South West Health',b'4541',b'5270',b'1798',b'2394',Canada
b'127',b'3866',"b""Children's Hospital Foundation of Manitoba""",b'4114',b'4310',b'3893',b'2394',Canada
b'128',b'3968',b'Chatham Kent Health Alliance',b'3711',b'4523',b'4062',b'2394',Canada
